Date,Open*,High,Low,Close**,Volume,Market Cap
7-Oct-20,$342.04 ,$352.21 ,$335.65 ,$350.77 ,"$13,461,017,711 ","$39,608,808,457 "
6-Oct-20,$340.94 ,$342.45 ,$334.55 ,$341.81 ,"$11,929,918,060 ","$38,592,810,957 "
5-Oct-20,$353.96 ,$354.99 ,$338.00 ,$340.82 ,"$12,830,796,112 ","$38,476,195,645 "
4-Oct-20,$352.74 ,$355.21 ,$349.68 ,$353.96 ,"$11,809,507,622 ","$39,954,971,652 "
3-Oct-20,$346.60 ,$354.05 ,$345.13 ,$352.58 ,"$10,696,959,020 ","$39,794,771,396 "
2-Oct-20,$346.22 ,$351.31 ,$344.67 ,$346.52 ,"$10,060,167,889 ","$39,106,512,854 "
1-Oct-20,$352.95 ,$354.12 ,$336.47 ,$346.24 ,"$14,215,390,463 ","$39,069,960,290 "
30-Sep-20,$360.31 ,$369.26 ,$346.48 ,$353.21 ,"$14,679,481,911 ","$39,851,388,059 "
29-Sep-20,$360.04 ,$361.18 ,$353.33 ,$359.94 ,"$11,818,610,610 ","$40,606,130,498 "
28-Sep-20,$354.36 ,$360.35 ,$352.15 ,$359.76 ,"$11,600,013,236 ","$40,581,050,364 "
27-Sep-20,$357.93 ,$366.43 ,$354.55 ,$355.16 ,"$14,258,455,166 ","$40,057,637,361 "
26-Sep-20,$354.96 ,$361.98 ,$349.83 ,$357.44 ,"$13,598,126,926 ","$40,309,981,004 "
25-Sep-20,$352.35 ,$355.85 ,$348.11 ,$355.49 ,"$13,049,148,579 ","$40,085,290,850 "
24-Sep-20,$349.41 ,$357.77 ,$339.02 ,$352.18 ,"$14,381,086,966 ","$39,707,914,546 "
23-Sep-20,$320.99 ,$351.46 ,$318.55 ,$349.36 ,"$15,714,304,470 ","$39,384,347,822 "
22-Sep-20,$344.59 ,$344.67 ,$318.97 ,$321.12 ,"$12,899,346,599 ","$36,196,531,454 "
21-Sep-20,$341.72 ,$346.60 ,$336.86 ,$344.50 ,"$12,732,578,043 ","$38,830,213,878 "
20-Sep-20,$371.40 ,$375.74 ,$336.07 ,$341.79 ,"$17,398,267,133 ","$38,519,366,615 "
